Treinamento^2022-11-07 08:57:54^INSERT INTO cidade (nm_cidade, cd_uf, cd_cidade) VALUES ('SAO JOSE DO OURO', '1', '15') ^0^man_cidade.php^treinamento_jaguar 
Treinamento^2022-11-07 08:58:36^INSERT INTO cidade_regiao (cd_regiao, cd_cidade) VALUES (NULL, '15') ^0^man_regiao_cidade.php^treinamento_jaguar 
Treinamento^2022-11-07 09:05:20^INSERT INTO cidade_regiao (cd_regiao, cd_cidade) VALUES ('1', '15') ^0^man_regiao_cidade.php^treinamento_jaguar 
Treinamento^2022-11-07 10:38:32^INSERT INTO pessoa_email (cd_pessoa, ds_email, id_principal) VALUES (NULL, 'vilmar@gmail.com', NULL) ^0^man_pessoa_email.php^treinamento_jaguar 
Treinamento^2022-11-07 10:51:17^INSERT INTO pessoa_email (cd_pessoa, ds_email, id_principal) VALUES (NULL, 'vilmar@gmail.com', NULL) ^0^man_pessoa_email.php^treinamento_jaguar 
Treinamento^2022-11-07 10:52:45^INSERT INTO pessoa_email (cd_pessoa, ds_email, id_principal) VALUES (NULL, 'vilmar@gmail.com', NULL) ^0^man_pessoa_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:00:04^INSERT INTO email (ds_email, id_principal, cd_pessoa) VALUES ('vilmar@gmail.com', NULL, '2') ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:01:01^INSERT INTO email (ds_email, id_principal, cd_pessoa) VALUES ('vilmar@gmail.com', '1', '2') ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:09:00^UPDATE pessoa SET nm_pessoa = 'TEXUGO', dt_nascimento = '1965-08-01' WHERE cd_pessoa = '3' ^1^man_pessoa.php^treinamento_jaguar 
Treinamento^2022-11-07 11:09:17^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('3', 'texugo@gmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:10:20^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('3', 'texugo@gmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:10:30^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('3', 'texugo@gmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:14:26^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('3', 'texugo@gmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:14:31^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('3', 'texugo@gmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:19:14^INSERT INTO pessoa (nm_pessoa, dt_nascimento, cd_pessoa) VALUES ('JUAREZ', '1956-01-01', '5') ^0^man_pessoa.php^treinamento_jaguar 
Treinamento^2022-11-07 11:24:26^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('5', 'juarez@hotmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:24:50^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('5', 'juarez@hotmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:26:29^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('5', 'juarez@hotmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:27:41^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('5', 'juarez@hotmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
Treinamento^2022-11-07 11:27:43^INSERT INTO email (cd_pessoa, ds_email, id_principal, cd_email) VALUES ('5', 'juarez@hotmail.com', '1', NULL) ^0^man_email.php^treinamento_jaguar 
